リィ,ryi,ryi,ryi
リュ,ryu,ryu,ryu
リェ,rye,rye,rye
リョ,ryo,ryo,ryo
ファ,fa,fa,fa
フィ,fi,fyi,fi
フェ,fe,fye,fe
フォ,fo,fo,fo
フャ,fya,fya,fya
フュ,fyu,fyu,fyu
フョ,fyo,fyo,fyo
イェ,ye,ye,ye
ウィ,wi,wi,wi
ウェ,we,we,we
うぉ,who,who,who
ウォ,who,who,who
ァ,la,xa,la
ィ,li,xi,li
ゥ,lu,xu,lu
ェ,le,xe,le
ォ,lo,xo,lo
ャ,lya,xya,lya
ュ,lyu,xyu,lyu
ョ,lyo,xyo,lyo
ッ,ltu,xtu,ltu
